feature,current_mean,baseline_mean,psi,psi_adjusted,noise_floor,mean_shift,shift_se,location_shift,status,weight_pct,n_baseline,n_current
away_elo,1497.064,1494.426,0.249566,0.173124,0.076442,2.637964,11.056401,False,OK,1.801,250,77
home_win_pct,0.4959,0.5051,0.206565,0.130123,0.076442,-0.009137,0.01206,False,OK,1.501,250,77
away_win_pct,0.5014,0.4965,0.238968,0.162526,0.076442,0.004889,0.012406,False,OK,1.621,250,77
sp_era_home,4.0926,4.0044,0.067233,0.0,0.077503,0.088192,0.268262,False,OK,2.068,246,76
sp_era_away,3.9685,4.0469,0.082408,0.005052,0.077356,-0.078383,0.263448,False,OK,1.49,248,76
sp_k9_home,8.32,8.7114,0.172362,0.094859,0.077503,-0.391449,0.345132,False,OK,2.291,246,76
sp_k9_away,8.8608,8.6647,0.116693,0.039337,0.077356,0.196106,0.352218,False,OK,1.925,248,76
sp_xwoba_home,0.3155,0.3091,0.220224,0.142868,0.077356,0.006377,0.00919,False,OK,1.335,248,76
sp_xwoba_away,0.3018,0.3116,0.06271,0.0,0.077283,-0.00981,0.009299,False,OK,1.794,249,76
lineup_woba_mean_home,0.3431,0.3442,0.137443,0.061001,0.076442,-0.001107,0.00216,False,OK,1.607,250,77
lineup_woba_mean_away,0.3439,0.3441,0.163547,0.087105,0.076442,-0.000192,0.002214,False,OK,1.428,250,77
lineup_woba_top3_home,0.3492,0.3551,0.24418,0.167738,0.076442,-0.005896,0.002985,False,OK,1.752,250,77
lineup_woba_top3_away,0.3535,0.3528,0.153504,0.077062,0.076442,0.000732,0.003602,False,OK,1.063,250,77
woba_30g_home,0.3004,0.3014,0.233627,0.157185,0.076442,-0.000989,0.003455,False,OK,1.403,250,77
woba_30g_away,0.2985,0.3013,0.157481,0.081039,0.076442,-0.002839,0.003758,False,OK,1.679,250,77
bullpen_whip_10g_home,1.3008,1.3586,0.122321,0.04511,0.077211,-0.057793,0.042651,False,OK,1.884,250,76
bullpen_whip_10g_away,1.2972,1.3341,0.113728,0.036994,0.076734,-0.036978,0.05169,False,OK,1.77,246,77
bullpen_whip_3g_home,1.2866,1.323,0.194654,0.117443,0.077211,-0.036367,0.08494,False,OK,0.726,250,76
bullpen_whip_3g_away,1.3125,1.3708,0.234823,0.158089,0.076734,-0.058324,0.097158,False,OK,1.073,246,77
team_barrel_15g_home,0.023,0.0221,0.09108,0.014638,0.076442,0.000835,0.001746,False,OK,1.138,250,77
team_barrel_15g_away,0.0226,0.0214,0.181725,0.105283,0.076442,0.001191,0.001528,False,OK,1.044,250,77
team_exitvelo_15g_home,88.0903,87.7858,0.222057,0.145615,0.076442,0.304573,0.250244,False,OK,1.109,250,77
team_exitvelo_15g_away,87.6191,87.8263,0.281914,0.205472,0.076442,-0.20722,0.259073,False,OK,1.454,250,77
lineup_actual_woba_delta_home,0.0047,0.003,0.167584,0.037084,0.1305,0.001724,0.002766,False,OK,2.114,250,40
lineup_actual_woba_delta_away,0.0012,0.0033,0.085917,0.0,0.1305,-0.002156,0.003068,False,OK,2.76,250,40
lineup_actual_top3_delta_home,-0.0124,-0.0164,0.252814,0.122314,0.1305,0.003965,0.004121,False,OK,1.994,250,40
lineup_actual_top3_delta_away,-0.0162,-0.0167,0.106632,0.0,0.1305,0.000483,0.004628,False,OK,2.15,250,40
lineup_rest_count_home,1.9,1.86,0.092658,0.0,0.1305,0.04,0.274136,False,OK,0.047,250,40
lineup_rest_count_away,2.0,1.888,0.023861,0.0,0.1305,0.112,0.290649,False,OK,1.253,250,40
run_margin_diff,0.0194,0.0404,0.220225,0.143783,0.076442,-0.020974,0.044291,False,OK,3.324,250,77
